user_id,Month,Income,Bills,Food,Entertainment,Transportation,Personal Spending,Healthcare,Savings
1,2025-01,131958,52498.0,23004.94,7026.67,9247.49,12125.79,18415.0,9640.0
1,2025-02,156867,56496.27,25566.0,9540.06,11908.0,12528.0,24749.0,16079.36
1,2025-03,141932,49615.78,14688.05,13447.5,13201.0,10342.81,27989.0,12648.55
1,2025-04,113694,39457.0,14569.0,7120.93,5714.0,9640.0,30955.0,6239.34
1,2025-05,129879,39381.0,24762.0,10204.0,10793.67,10025.22,16991.17,17721.9
1,2025-06,120268,29795.0,23212.81,6650.0,10216.71,7151.0,26626.0,16616.67
1,2025-07,217892,43627.21,33908.0,19137.84,13712.91,12998.71,81780.34,12727.0
1,2025-08,64886,16654.0,6608.0,4646.62,5970.0,4517.0,22082.0,4408.99
1,2025-09,147337,50347.0,21711.2,7794.0,7917.0,13646.46,23966.0,21955.4
1,2025-10,223458,61309.0,40642.22,13994.0,11184.0,12949.0,61736.0,21642.79
1,2025-11,178266,63207.0,21928.0,10084.0,16651.0,17499.0,39426.83,9471.31
1,2025-12,97498,25754.0,16812.78,8511.0,5851.63,9106.91,19616.68,11845.27
1,2026-01,122727,35681.0,18781.58,6245.96,11025.78,7941.0,25723.68,17327.0
1,2026-02,136324,42489.81,16707.0,7912.42,11257.09,9038.0,34057.0,14862.91
1,2026-03,185203,63780.0,30687.84,16270.63,18082.0,17666.69,16042.14,22674.13
1,2026-04,201335,54200.05,35753.0,19541.95,10795.75,15445.0,37764.0,27835.24
1,2026-05,26023,9480.0,2709.0,2173.0,2539.26,1463.0,4025.0,3633.0
1,2026-06,51090,18223.0,8237.03,3791.9,4242.56,3967.14,7021.0,5607.0
1,2026-07,77221,25487.0,11423.14,6238.46,5131.4,5676.45,13655.63,9608.0
1,2026-08,74820,23081.65,11173.0,4045.99,5250.0,4566.12,19832.0,6871.0
1,2026-09,10769,3737.6,1903.66,810.0,831.0,815.0,1500.0,1172.0
1,2026-10,69735,17906.0,9478.04,4825.0,5111.0,6401.67,20882.28,5131.0
1,2026-11,204027,43626.0,29322.05,11195.0,14333.11,16249.92,67277.66,22023.0
1,2026-12,74925,23802.36,11978.36,5232.24,4634.0,4625.4,14285.0,10367.44
1,2027-01,209041,81467.0,26183.0,14207.0,14417.12,16781.0,38077.0,17909.0
1,2027-02,15311,3166.89,3041.83,859.69,942.49,805.0,4749.52,1745.0
1,2027-03,113355,33550.75,19111.0,5766.25,7499.0,11183.02,24000.9,12243.61
1,2027-04,245796,95359.99,42594.0,14285.44,14605.0,21272.0,41552.24,16128.24
1,2027-05,224176,55782.0,41044.0,20900.0,19823.0,12477.0,45108.67,29042.0
1,2027-06,194779,45160.97,31261.13,12837.02,18177.0,19413.0,43535.05,24395.0
1,2027-07,95305,36242.0,17897.24,6277.0,8906.0,6555.0,11833.0,7594.56
1,2027-08,169765,54205.0,26240.0,12261.0,8613.0,13471.0,43627.0,11348.0
1,2027-09,213004,77267.89,23620.0,12237.0,16259.0,13271.0,49544.96,20804.0
1,2027-10,234088,88799.61,25077.39,22878.12,19367.0,16153.0,45493.0,16320.0
1,2027-11,140608,43090.0,22229.0,7660.51,12076.0,9842.0,24947.21,20763.94
1,2027-12,248042,88968.06,29399.0,23784.16,17667.13,13482.0,42106.0,32636.0
1,2028-01,166730,59814.0,27453.86,9793.5,11344.0,15888.0,21262.0,21174.0
1,2028-02,94478,33382.03,10862.0,6726.57,5446.58,5835.13,19289.0,12936.49
1,2028-03,132537,33317.0,21630.24,7014.22,7566.0,8446.19,40023.0,14539.93
1,2028-04,159503,51144.0,21329.17,15196.85,14136.93,10088.0,29341.0,18267.72
1,2028-05,140523,46923.51,15035.0,11524.07,8931.27,11191.34,30334.0,16583.57
1,2028-06,12747,3687.0,1699.9,1007.32,693.93,1250.0,2961.53,1446.73
1,2028-07,133855,53040.0,19742.0,9252.9,7495.0,13212.59,24152.0,6960.81
1,2028-08,200222,74670.24,32205.44,15085.11,11605.91,10642.89,43646.0,12367.0
1,2028-09,75725,19381.0,14708.73,7093.0,4398.73,6763.0,15243.0,8137.0
1,2028-10,139981,42903.65,24096.64,7987.86,8483.0,12729.0,32267.0,11514.0
1,2028-11,94654,28005.36,12435.0,7602.0,5391.0,8983.9,19653.0,12582.66
1,2028-12,176845,43594.0,19098.65,15710.0,9921.31,14097.12,49020.69,25403.0
1,2029-01,129346,35867.0,20235.42,7707.61,7836.79,9601.36,31874.92,16223.0
1,2029-02,77435,18240.07,13099.04,6265.0,6323.0,4758.0,23076.68,5673.0
1,2029-03,66886,22127.0,9057.94,5101.75,4955.03,3936.0,15775.0,5933.0
1,2029-04,76803,18274.43,12434.01,5082.44,7044.0,6257.0,22343.95,5367.43
1,2029-05,41551,9550.0,4684.0,3873.93,2583.0,3431.51,11982.0,5446.03
1,2029-06,126216,49043.0,22831.0,6793.05,8073.83,12181.86,17788.0,9504.8
1,2029-07,21394,6206.91,4027.0,1183.0,2127.0,1543.87,5134.0,1172.03
1,2029-08,79092,21949.54,11562.83,7876.0,7794.0,7681.08,12074.92,10154.17
1,2029-09,13890,4207.72,2637.57,1237.94,852.74,1372.0,1960.0,1621.45
1,2029-10,51606,13647.0,5807.0,3804.23,2874.34,3834.37,14309.75,7330.0
1,2029-11,237348,65318.0,36791.12,16479.7,13810.0,15117.0,55932.0,33900.83
1,2029-12,221110,55650.0,34139.75,18087.58,13499.47,21872.0,50262.0,27598.77
1,2030-01,97313,33630.34,10781.73,8200.07,5313.0,9562.0,20208.2,9618.0
1,2030-02,151699,34938.0,16592.0,11963.0,14238.0,10875.31,53067.0,10025.0
1,2030-03,18792,6229.77,2463.0,1637.0,1705.0,1517.0,3006.43,2232.0
1,2030-04,249931,87453.0,43954.77,20973.94,21947.0,23018.0,28332.34,24251.28
1,2030-05,249629,83028.7,25009.83,14708.0,12844.0,14564.0,82466.25,17007.71
1,2030-06,215041,73240.53,22640.0,15983.97,17196.0,17226.0,57508.85,11245.0
1,2030-07,184073,67191.46,27984.56,12641.0,10330.0,15973.0,36408.02,13545.15
1,2030-08,217624,71274.0,32560.0,12820.8,18345.0,21666.0,33816.0,27142.49
1,2030-09,164969,52322.0,26171.99,14003.15,15916.35,14703.54,32678.0,9174.52
1,2030-10,78148,26664.39,12747.27,4102.15,7439.35,7460.75,9729.47,10005.0
1,2030-11,134243,27208.0,17220.0,7011.48,6955.72,8563.0,56872.52,10412.05
1,2030-12,130174,48245.0,13622.72,10542.14,10167.0,8760.0,28226.0,10611.65
1,2031-01,164555,45859.76,30078.0,14708.86,13365.37,12296.22,23900.0,24347.0
1,2031-02,134358,31790.0,13732.0,11554.84,9525.91,7315.0,44536.0,15905.0
1,2031-03,58555,18888.67,7179.7,5407.0,4182.67,3340.0,12739.0,6816.9
1,2031-04,27159,6040.0,3683.0,2686.0,2436.0,2033.2,8000.0,2280.75
1,2031-05,120510,27997.0,15129.95,11729.47,9400.88,10549.02,32953.6,12750.0
1,2031-06,116530,33833.25,16283.69,6371.0,8396.41,6966.22,36677.32,8002.0
1,2031-07,90077,34174.46,13693.0,6519.79,7016.0,5252.0,13391.67,10029.83
1,2031-08,45920,15912.52,8359.0,3015.02,4130.0,4517.97,3755.0,6230.77
1,2031-09,233139,61689.1,46559.68,23078.0,19305.47,13170.33,41665.83,27670.0
1,2031-10,208193,53984.0,39935.75,11562.5,18317.0,20695.0,34525.02,29174.0
1,2031-11,210551,46866.26,22891.0,18097.67,14950.0,20059.0,61586.0,26101.0
1,2031-12,230547,57820.0,23772.06,20049.0,12753.0,15157.54,89379.35,11615.35
1,2032-01,29457,10996.0,3581.0,2003.63,1574.0,2596.86,6031.0,2676.0
1,2032-02,207629,77828.76,20766.81,12136.76,14428.0,14321.24,53058.68,15089.03
1,2032-03,218261,44838.0,42915.0,12304.0,18636.0,21529.0,49096.0,28942.0
